date,close
5-Mar-13,784099
6-Mar-13,786404
7-Mar-13,788417
8-Mar-13,790820
9-Mar-13,834567
10-Mar-13,835430
11-Mar-13,889019
12-Mar-13,894289
13-Mar-13,904409
14-Mar-13,907425
15-Mar-13,911784
17-Mar-13,922718
18-Mar-13,926725
19-Mar-13,930264
20-Mar-13,934280
21-Mar-13,937253
22-Mar-13,948780
23-Mar-13,948725
24-Mar-13,950757
25-Mar-13,972439
26-Mar-13,978982
27-Mar-13,986639
28-Mar-13,992167
29-Mar-13,993743
31-Mar-13,994246
1-Apr-13,1005544
2-Apr-13,1014558
3-Apr-13,1021993
4-Apr-13,1027123
5-Apr-13,1063919
6-Apr-13,1064495
7-Apr-13,1071822
8-Apr-13,1080456
9-Apr-13,1087308
10-Apr-13,1095022
11-Apr-13,1102843
12-Apr-13,1108364
13-Apr-13,1108136
14-Apr-13,1112599
15-Apr-13,1124095
16-Apr-13,1133087
17-Apr-13,1139210
18-Apr-13,1148491
20-Apr-13,1157036
21-Apr-13,1164512
22-Apr-13,1196882
23-Apr-13,1205757
24-Apr-13,1213869
25-Apr-13,1220847
26-Apr-13,1224903
29-Apr-13,1235225
30-Apr-13,1245963
1-May-13,1246504
2-May-13,1257460
3-May-13,1260228
5-May-13,1260921
6-May-13,1265066
7-May-13,1268412
8-May-13,1274485
9-May-13,1228257
10-May-13,1232927
12-May-13,1234689
13-May-13,1275768
14-May-13,1275693
15-May-13,1313379
16-May-13,1319620
17-May-13,1323904
18-May-13,1323866
19-May-13,1324471
20-May-13,1337317
21-May-13,1351717
22-May-13,1358806
23-May-13,1370125
24-May-13,1373882
26-May-13,1374865
27-May-13,1403494
28-May-13,1410865
29-May-13,1417527
30-May-13,1423807
31-May-13,1423036
3-Jun-13,1409640
4-Jun-13,1416104
5-Jun-13,1430995
6-Jun-13,1437839
7-Jun-13,1440662
9-Jun-13,1442971
10-Jun-13,1456463
11-Jun-13,1456412
12-Jun-13,1464755
13-Jun-13,1470603
14-Jun-13,1474184
16-Jun-13,1476497
17-Jun-13,1490186
18-Jun-13,1495501
19-Jun-13,1499819
20-Jun-13,1510354
21-Jun-13,1512160
23-Jun-13,1516510
24-Jun-13,1521582
25-Jun-13,1528358
26-Jun-13,1547643
27-Jun-13,1552994
28-Jun-13,1555426
30-Jun-13,1558395
1-Jul-13,1561526
2-Jul-13,1569179
3-Jul-13,1574346
4-Jul-13,1579339
7-Jul-13,1582495
8-Jul-13,1593920
9-Jul-13,1597562
10-Jul-13,1605576
11-Jul-13,1594804
12-Jul-13,1597452
13-Jul-13,1598259
14-Jul-13,1606134
15-Jul-13,1613864
16-Jul-13,1616693
17-Jul-13,1635861
18-Jul-13,1638915
19-Jul-13,1641470
21-Jul-13,1641860
22-Jul-13,1661833
23-Jul-13,1665743
24-Jul-13,1671373
25-Jul-13,1675695
26-Jul-13,1677517
28-Jul-13,1679974
29-Jul-13,1683945
30-Jul-13,1694277
31-Jul-13,1701365
1-Aug-13,1705820
2-Aug-13,1707952
4-Aug-13,1708283
5-Aug-13,1718857
6-Aug-13,1714485
7-Aug-13,1721209
8-Aug-13,1723923
9-Aug-13,1724584
11-Aug-13,1726010
12-Aug-13,1728870
13-Aug-13,1733914
14-Aug-13,1738985
15-Aug-13,1741843
16-Aug-13,1744155
18-Aug-13,1741896
19-Aug-13,1754278
20-Aug-13,1763747
21-Aug-13,1767135
22-Aug-13,1775992
23-Aug-13,1778420
24-Aug-13,1778429
25-Aug-13,1779634
26-Aug-13,1787366
27-Aug-13,1813578
28-Aug-13,1820862
29-Aug-13,1830557
31-Aug-13,1834708
1-Sep-13,1840028
2-Sep-13,1855939
3-Sep-13,1866429
4-Sep-13,1869063
5-Sep-13,1872067
6-Sep-13,1874246
9-Sep-13,1877020
12-Sep-13,1885818
14-Sep-13,1889185
16-Sep-13,1928940
17-Sep-13,1932391
18-Sep-13,1961539
19-Sep-13,1962989
21-Sep-13,1969213
22-Sep-13,1981868
23-Sep-13,1985111
24-Sep-13,1993915
25-Sep-13,1993882
26-Sep-13,1994779
27-Sep-13,2002456
29-Sep-13,2002825
30-Sep-13,2005752
1-Oct-13,2017839
2-Oct-13,2030271
3-Oct-13,2041175
4-Oct-13,2043805
6-Oct-13,2046232
7-Oct-13,2053173
8-Oct-13,2061018
9-Oct-13,2065004
10-Oct-13,2070846
11-Oct-13,2070850
13-Oct-13,2071459
14-Oct-13,2077517
16-Oct-13,2079904
17-Oct-13,2083652
19-Oct-13,2086233
20-Oct-13,2086967
21-Oct-13,2089473
22-Oct-13,2095450
23-Oct-13,2100034
24-Oct-13,2103707
25-Oct-13,2109426
27-Oct-13,2109535
28-Oct-13,2114725
29-Oct-13,2117104
30-Oct-13,2106920
31-Oct-13,2112829
1-Nov-13,2113414
2-Nov-13,2119120
3-Nov-13,2121535
4-Nov-13,2121572
5-Nov-13,2159923
6-Nov-13,2158212
7-Nov-13,2153072
8-Nov-13,2178259
10-Nov-13,2179837
11-Nov-13,2167774
12-Nov-13,2173086
13-Nov-13,2176160
14-Nov-13,2179458
15-Nov-13,2181948
17-Nov-13,2188409
18-Nov-13,2191223
19-Nov-13,2196605
20-Nov-13,2202071
21-Nov-13,2205419
24-Nov-13,2205562
25-Nov-13,2208673
26-Nov-13,2216699
27-Nov-13,2229191
28-Nov-13,2233205
30-Nov-13,2246131
2-Dec-13,2246171
3-Dec-13,2252398
4-Dec-13,2256118
5-Dec-13,2259342
6-Dec-13,2261500
8-Dec-13,2264623
9-Dec-13,2269094
10-Dec-13,2272818
11-Dec-13,2275733
12-Dec-13,2279654
14-Dec-13,2282276
15-Dec-13,2283182
16-Dec-13,2299705
17-Dec-13,2299696
18-Dec-13,2306664
19-Dec-13,2308438
22-Dec-13,2309788
23-Dec-13,2314211
24-Dec-13,2315552
25-Dec-13,2316800
26-Dec-13,2320154
27-Dec-13,2322264
29-Dec-13,2325350
30-Dec-13,2327737
31-Dec-13,2301668
1-Jan-14,2301533
2-Jan-14,2303746
3-Jan-14,2304870
5-Jan-14,2310299
6-Jan-14,2316667
7-Jan-14,2319063
8-Jan-14,2321837
9-Jan-14,2325533
10-Jan-14,2330256
12-Jan-14,2332239
13-Jan-14,2332688
14-Jan-14,2335685
15-Jan-14,2344470
16-Jan-14,2346697
18-Jan-14,2348875
19-Jan-14,2354593
20-Jan-14,2364103
21-Jan-14,2366732
22-Jan-14,2373446
23-Jan-14,2377984
24-Jan-14,2380063
26-Jan-14,2383367
27-Jan-14,2388054
28-Jan-14,2391309
29-Jan-14,2394028
30-Jan-14,2396806
31-Jan-14,2398976
2-Feb-14,2412679
3-Feb-14,2416113
4-Feb-14,2417736
5-Feb-14,2426077
6-Feb-14,2433755
7-Feb-14,2435767
9-Feb-14,2444567
10-Feb-14,2447731
11-Feb-14,2450156
12-Feb-14,2453278
13-Feb-14,2429299
14-Feb-14,2431147
16-Feb-14,2440448
17-Feb-14,2438687
18-Feb-14,2443007
19-Feb-14,2444928
20-Feb-14,2448919
21-Feb-14,2450810
23-Feb-14,2461136
24-Feb-14,2464006
25-Feb-14,2465337
26-Feb-14,2470945
27-Feb-14,2474297
28-Feb-14,2481506
2-Mar-14,2481606
3-Mar-14,2483975
4-Mar-14,2486221
5-Mar-14,2493848
6-Mar-14,2495768
7-Mar-14,2498312
9-Mar-14,2510517
10-Mar-14,2512901
11-Mar-14,2516257
12-Mar-14,2518356
13-Mar-14,2520267
15-Mar-14,2522944
16-Mar-14,2530929
17-Mar-14,2532253
18-Mar-14,2534613
19-Mar-14,2537014
20-Mar-14,2540148
22-Mar-14,2542240
23-Mar-14,2544736
24-Mar-14,2547889
25-Mar-14,2551671
26-Mar-14,2554371
27-Mar-14,2556972
28-Mar-14,2558091
30-Mar-14,2575825
31-Mar-14,2577318
1-Apr-14,2580070
2-Apr-14,2582765
3-Apr-14,2585182
5-Apr-14,2600675
6-Apr-14,2600104
7-Apr-14,2604403
8-Apr-14,2606994
9-Apr-14,2609645
10-Apr-14,2611099
12-Apr-14,2614079
13-Apr-14,2647871
14-Apr-14,2650244
15-Apr-14,2636777
16-Apr-14,2638509
17-Apr-14,2641162
20-Apr-14,2643913
21-Apr-14,2643822
22-Apr-14,2646559
23-Apr-14,2646151
24-Apr-14,2645970
25-Apr-14,2653939
26-Apr-14,2659538
27-Apr-14,2659650
28-Apr-14,2662432
29-Apr-14,2668061
30-Apr-14,2689288
1-May-14,2689042
2-May-14,2691072
4-May-14,2690478
5-May-14,2692700
6-May-14,2694465
7-May-14,2696844
8-May-14,2699229
10-May-14,2702137
11-May-14,2708667
12-May-14,2712114
13-May-14,2715365
14-May-14,2717488
15-May-14,2724284
17-May-14,2725696
19-May-14,2733015
20-May-14,2738202
21-May-14,2740097
22-May-14,2739946
25-May-14,2753851
26-May-14,2753762
27-May-14,2760844
28-May-14,2760912
29-May-14,2765333
30-May-14,2768729
31-May-14,2764840
1-Jun-14,2769197
2-Jun-14,2771122
3-Jun-14,2772797
4-Jun-14,2767493
5-Jun-14,2771856
7-Jun-14,2773764
8-Jun-14,2785847
9-Jun-14,2787653
10-Jun-14,2789496
11-Jun-14,2791282
12-Jun-14,2793239
13-Jun-14,2794928
15-Jun-14,2809716
16-Jun-14,2811630
17-Jun-14,2814056
18-Jun-14,2815534
19-Jun-14,2817419
21-Jun-14,2819580
22-Jun-14,2826072
23-Jun-14,2827746
24-Jun-14,2829809
25-Jun-14,2829874
26-Jun-14,2835736
28-Jun-14,2838021
29-Jun-14,2843825
30-Jun-14,2846508
1-Jul-14,2853755
2-Jul-14,2853957
3-Jul-14,2854557
5-Jul-14,2860437
6-Jul-14,2863890
7-Jul-14,2864222
8-Jul-14,2864454
9-Jul-14,2868519
10-Jul-14,2870614
12-Jul-14,2872949
13-Jul-14,2878882
14-Jul-14,2880889
15-Jul-14,2878711
16-Jul-14,2878313
17-Jul-14,2882045
19-Jul-14,2884356
20-Jul-14,2889158
21-Jul-14,2891146
22-Jul-14,2893207
23-Jul-14,2895647
24-Jul-14,2897765
26-Jul-14,2899367
27-Jul-14,2899745
29-Jul-14,2906595
30-Jul-14,2909235
31-Jul-14,2913677
1-Aug-14,2915449
3-Aug-14,2915376
4-Aug-14,2917530
5-Aug-14,2918993
6-Aug-14,2920401
7-Aug-14,2922087
8-Aug-14,2923522
10-Aug-14,2931539
11-Aug-14,2934138
12-Aug-14,2935407
13-Aug-14,2934957
14-Aug-14,2937725
15-Aug-14,2938042
17-Aug-14,2940466
18-Aug-14,2942398
19-Aug-14,2943861
20-Aug-14,2946053
21-Aug-14,2950183
22-Aug-14,2958104
24-Aug-14,2958155
25-Aug-14,2960405
26-Aug-14,2960699
27-Aug-14,2962547
28-Aug-14,2964954
