Rank,Country,Teaching,International,Research,Citations,Income,Population
185,Germany,34.6,50.9,35.8,79.1,47.9,26576
188,France,38.7,64.2,29,79.8,28.8,27603
189,America,32.4,31.9,38.1,84.6,32,83236
190,Belgium,31.6,64.8,40.8,71.7,60.3,12346
190,America,34.1,60,29.3,83.3,46.8,13216
192,Germany,35.2,58.2,23.9,86.4,58.4,9187
193,Luxembourg,25,99.8,26.7,84.8,38.1,5144
193,America,49.4,47.8,52.4,47.1,46.4,50657
195,Germany,37.3,61.1,22.2,83.8,68.4,6853
196,UK,30.9,84.3,27.5,81.5,34.7,20174
196,UK,25.6,69.5,18.1,100,37.7,2958
198,Italy,30.8,55.9,27.4,87.7,47.1,16841
199,France,30.5,64.9,22.9,91,29,27756
200,UK,34.1,93.4,33.3,68.9,35.7,17940
